foodName,foodSearchSum,foodSum2004,foodSum2005,foodSum2006,foodSum2007,foodSum2008,foodSum2009,foodSum2010,foodSum2011,foodSum2012,foodSum2013,foodSum2014,foodSum2015,foodSum2016
anise,13655,1109,1053,954,939,904,983,958,1046,1017,1152,1167,1166,1188
apple,19975,1114,1137,1184,1219,1314,1445,1448,1625,1669,1934,1920,2011,1936
apple-au,32912,1508,1635,1663,1679,1850,2206,2495,2752,2892,3200,3561,3837,3632
apple-cider,9271,451,490,498,542,556,623,660,796,820,1022,932,931,925
apple-pie,6245,333,338,363,371,412,426,425,524,570,724,599,603,548
apple-ru,13715,713,709,503,461,367,820,788,1051,1121,1416,1571,1910,2243
apricot,26647,2029,1780,1762,1959,2036,2031,2069,2125,2294,2331,2179,1988,2060
asparagus,19698,710,836,906,1001,1085,1318,1471,1791,1894,2111,2284,2102,2190
asparagus-de,6338,321,350,309,300,313,312,300,496,561,626,723,799,926
asparagus-jp,12859,622,628,672,687,636,710,776,865,1132,1247,1447,1522,1910
avocado,23222,690,750,858,934,1050,1259,1446,1585,2269,2717,2828,3175,3646
baked-beans,12092,656,650,671,688,796,871,862,1028,1059,1190,1182,1232,1207
baked-chicken,33684,1700,1671,1799,1930,2174,2334,2307,2833,3108,3268,3332,3512,3716
banana-bread,36267,1556,1737,1854,1996,2141,2471,2540,3167,3568,3923,3848,3689,3777
barbecue-sauce,24055,1224,1231,1223,1279,1392,1683,1780,2171,2319,2494,2405,2449,2405
beef,31918,1688,1758,1853,1894,2049,2193,2254,2698,2766,3049,3144,3177,3395
beef-steak,27089,1668,1216,1417,1398,1599,1848,1947,2220,2380,2648,2595,2813,3340
beer,40403,2643,2598,2635,2638,2597,2665,2787,3318,3529,3581,3750,3875,3785
beet,31179,873,983,1060,1268,1610,2026,2249,2778,3244,3841,3762,3641,3844
blackberry,19171,1072,1129,1083,1042,1254,1377,1509,1556,1769,1840,1847,1744,1951
blueberry,20612,1033,1088,1059,1053,1272,1459,1524,1738,1833,2082,2133,2104,2234
boysenberry,14651,1940,1544,1039,905,881,945,982,985,1017,1090,1082,1073,1208
bread,34635,2042,2075,2105,2167,2328,2511,2488,2820,3030,3229,3275,3205,3360
broccoli,20455,831,938,1015,1060,1179,1317,1399,1700,1885,2118,2196,2207,2613
brussel-sprouts,6283,76,106,129,161,202,266,317,461,668,907,959,958,1032
burrito,17648,703,736,780,816,929,1053,1134,1471,1686,1755,1898,2115,2551
cabbage,11293,485,499,600,593,688,792,802,924,970,1125,1239,1285,1277
caipirinha,15200,812,809,943,1005,1105,1355,1564,1406,1306,1287,1464,1057,1093
cardamom,24480,1082,1167,1266,1416,1568,1753,1866,2150,2211,2438,2459,2498,2604
carrot,18007,643,707,742,800,951,1165,1297,1504,1766,2064,2114,2089,2165
cauliflower,19795,584,535,547,600,671,880,1021,1279,1765,2288,2835,3143,3658
celeriac,18289,1026,953,912,983,1119,1318,1395,1693,1713,1857,1801,1839,1677
champagne,12717,946,934,918,899,813,881,924,1077,1060,1009,1028,1068,1153
chanterelle,14833,1733,1445,1055,1118,1104,1157,1284,1154,661,1300,912,960,931
charoset,1790,195,180,129,123,116,117,118,138,127,133,144,154,118
cheeseburger,23299,669,882,1038,1182,1518,1675,1865,1950,2103,2299,2523,2665,2884
cherry-tomato,19033,824,741,748,812,991,1289,1362,1585,1872,2051,2190,2226,2342
chia,16364,212,187,156,160,261,314,429,682,1455,2428,3384,3299,3363
chili,36426,2308,2241,2140,2245,2346,2572,2732,3079,3140,3221,3301,3496,3563
chili-con-carne,21869,1114,1157,1157,1238,1361,1485,1578,1951,2041,2198,2203,2167,2219
chinese-cabbage,25552,888,884,1060,1226,1457,1846,2094,2559,2781,2826,2819,2590,2527
chinese-water-chestnut,11520,809,795,712,611,687,817,797,976,1018,1077,1085,1092,1048
chives,23354,808,863,929,1011,1217,1491,1605,2331,2788,2617,2548,2536,2595
chocolate,24806,1815,1822,1823,1799,1730,1773,1796,1979,2028,2074,2027,2047,2093
chocolate-cake,30426,1564,1596,1644,1734,1987,2386,2535,2787,2959,2977,2819,2648,2790
chocolate-chip-cookies,18456,948,983,1002,1066,1186,1272,1261,1738,1847,1957,1856,1678,1662
chocolate-mousse,22343,1418,1368,1366,1368,1496,1878,2131,1980,1959,1991,1891,1777,1720
chokecherry,9849,1650,1430,1176,959,865,778,504,374,403,493,456,348,427
cinnamon,23211,1000,1046,1122,1230,1325,1484,1604,2010,2223,2548,2564,2518,2536
coconut,24578,1050,1126,1175,1198,1333,1508,1629,2022,2320,2670,2781,2857,2908
coffee,36415,2285,2288,2283,2237,2137,2096,2113,3483,4108,3356,3014,3326,3679
cold-brew-coffee,6741,245,180,179,215,139,178,198,277,339,504,722,1313,2223
coriander,32911,1391,1444,1506,1646,1826,2100,2356,2773,3177,3604,3647,3658,3778
cornbread,6779,327,358,369,385,443,480,477,600,640,721,669,657,653
corn-salad,11885,639,595,663,584,675,750,889,1026,1160,1216,1272,1190,1226
cosmopolitan,10349,1837,1504,1184,837,745,531,494,525,488,458,463,638,692
cranberry,6167,374,371,392,402,437,454,459,504,504,604,575,546,535
cronut,3576,0,0,0,0,0,0,0,185,1,1618,1023,415,334
cucumber,18921,701,778,800,864,954,1202,1349,1579,1727,2070,2240,2311,2326
daiquiri,21959,1293,1347,1421,1355,1305,1557,1687,2081,2078,1896,1862,1974,2094
date,16485,814,859,858,887,935,1045,1049,1264,1384,1666,1901,1856,1963
diet,33143,2190,2263,2320,2439,2509,2460,2522,2920,3026,2911,2608,2507,2389
dill,29606,1594,1574,1641,1745,1902,2135,2188,2473,2649,2874,2947,2952,2937
donut,14350,655,652,664,728,761,769,849,1054,1151,1343,1559,1976,2189
dumpling,28957,1118,1305,1372,1521,1839,2134,2148,2495,2610,2876,2947,3151,3441
easter-egg,2816,248,211,206,160,128,197,177,228,261,267,260,241,234
eggplant,31420,1623,1688,1743,1892,2083,2290,2417,2632,2961,3043,3107,3013,2928
elderberry,26769,1861,1713,1542,1458,1577,1931,1910,1939,2110,2529,2663,2722,2801
empanada,33198,1242,1248,1332,1507,2129,2913,3288,2643,2864,3254,3328,3559,3884
endive,31364,1314,1477,1605,1879,2138,2331,2605,3125,3060,3078,3021,2905,2820
energy-drink,31785,1228,1927,2913,3660,3577,2883,2476,2480,2407,2144,2116,2086,1894
feijoa,23734,2451,1866,1483,1546,1472,1477,1603,1778,1851,2150,1953,1979,2123
fennel,29612,1115,1194,1378,1556,1808,2159,2375,2910,2901,3247,3117,2965,2889
fig,11914,1207,811,657,725,796,804,812,872,954,986,1056,1079,1154
frozen-yogurt,22039,736,638,643,830,1044,1275,1702,2365,2921,2962,2472,2278,2173
fruit-salad,17208,1058,1187,1127,1179,1226,1336,1299,1365,1444,1555,1507,1468,1454
garden-tomato,30981,1477,1586,1610,1778,2007,2369,2447,2710,2877,2941,3002,2981,3173
garlic,30109,1467,1593,1630,1712,1833,2076,2145,2517,2755,3030,3014,3059,3276
gefilte-fish,6513,698,510,435,379,426,452,421,593,580,497,498,547,477
gimlet,13484,736,638,657,697,747,781,904,1280,1340,1383,1310,1478,1511
ginger,25725,1296,1326,1324,1350,1468,1710,1849,2088,2272,2594,2709,2796,2939
gooseberry,11905,1707,1308,1028,901,910,868,757,680,678,760,750,774,786
grape,30110,1946,1956,1929,1961,2078,2189,2187,2490,2455,2733,2630,2777,2781
grapefruit,19709,1077,922,965,1130,1057,1194,1236,1442,1633,2015,2123,2455,2456
grasshopper-cocktail,11104,1360,1151,780,699,664,621,744,836,1003,962,814,768,703
hamburger,27549,1013,1180,1209,1302,1580,1817,1976,2465,2564,2780,2971,3256,3436
honey,24620,1095,1129,1174,1272,1403,1540,1664,2055,2261,2568,2708,2772,2981
horseradish,7279,361,390,375,428,432,498,536,623,621,764,718,742,743
hot-chocolate,9434,426,490,489,525,555,597,649,793,850,993,979,970,1086
hot-dog,21633,1138,1164,1223,1275,1438,1498,1559,1866,1876,1952,1998,2326,2320
huckleberry,20138,1862,1706,1438,1205,1299,1410,1227,1426,1492,1599,1784,1743,1945
ice-cream,7397,424,430,422,415,414,440,465,585,609,623,663,777,1130
iced-tea,24977,1279,1388,1453,1559,1601,1672,1769,2082,2296,2410,2377,2485,2602
kale,17770,136,151,167,212,297,460,675,1338,2347,3461,3396,2786,2353
kale-de,10043,586,560,477,534,475,486,488,627,794,955,1126,1329,1574
kale-jp,12726,1893,1531,1298,926,749,693,675,616,520,571,814,1111,1334
kimchi,27498,1161,1151,1231,1194,1419,1700,1772,2353,2656,2837,3042,3174,3807
kohlrabi,17107,889,741,786,817,838,1220,1298,1499,1713,1922,1870,1768,1746
kumquat,24372,1385,1347,1511,1470,1614,1709,1797,2086,2183,2170,2198,2270,2630
lamb,18004,1094,1122,1167,1234,1218,1303,1344,1422,1468,1655,1691,1686,1580
lasagna,21705,986,1050,1157,1160,1313,1519,1654,1938,2062,2262,2213,2180,2211
leek,27364,1310,1516,1393,1478,1720,2091,2361,2473,2572,2789,2729,2487,2446
lemon,32486,1477,1576,1662,1732,1940,2190,2337,2726,3004,3335,3396,3482,3627
